farmer_id,farmer_name,location_state,soil_type,soil_ph,nitrogen,phosphorus,potassium,rainfall_mm,temperature_c,recommended_crop,harvest_time_days,risk_level,cautions
1,Farmer 1,Odisha,Alluvial,7.0,58,31,41,127,32,Chilli,199,Medium,Monitor pests
2,Farmer 2,West Bengal,Sandy,5.8,60,16,31,248,37,Jute,249,Low,Avoid waterlogging
3,Farmer 3,Bihar,Red Soil,6.3,44,31,43,166,34,Cotton,218,Medium,Monitor pests
4,Farmer 4,Chhattisgarh,Sandy,7.4,47,28,27,160,37,Sugarcane,155,Medium,Fungal risk
5,Farmer 5,Odisha,Sandy,7.1,46,29,29,217,35,Maize,84,High,Monitor pests
6,Farmer 6,AP,Alluvial,6.9,48,15,34,181,37,Paddy,154,Low,Fungal risk
7,Farmer 7,Karnataka,Black Soil,7.3,56,20,28,133,33,Jute,177,Medium,Nitrogen application needed
8,Farmer 8,West Bengal,Sandy,7.5,47,15,33,121,26,Millet,136,Low,Check soil moisture weekly
9,Farmer 9,Odisha,Clay,7.0,54,33,37,227,37,Wheat,145,Medium,Ensure proper irrigation
10,Farmer 10,Chhattisgarh,Clay,7.2,47,25,30,229,36,Pigeon Pea,271,Low,Ensure proper irrigation
11,Farmer 11,Haryana,Loamy,6.5,45,32,36,257,33,Pigeon Pea,108,High,Fungal risk
12,Farmer 12,Maharashtra,Black Soil,7.5,47,32,44,177,28,Wheat,140,Low,Check soil moisture weekly
13,Farmer 13,UP,Clay,6.3,58,33,26,180,27,Soybean,143,Low,Monitor pests
14,Farmer 14,Rajasthan,Black Soil,6.2,60,11,41,127,30,Paddy,130,High,Avoid waterlogging
15,Farmer 15,Karnataka,Clay,6.9,50,19,44,259,33,Jute,96,High,Avoid waterlogging
16,Farmer 16,West Bengal,Alluvial,5.9,58,10,33,109,32,Paddy,134,Low,Avoid waterlogging
17,Farmer 17,Gujarat,Loamy,6.1,53,18,29,176,27,Jute,284,Low,Ensure proper irrigation
18,Farmer 18,AP,Alluvial,7.1,51,16,42,248,29,Wheat,96,Medium,Check soil moisture weekly
19,Farmer 19,Chhattisgarh,Sandy,7.1,27,23,50,187,37,Chilli,223,Low,Avoid waterlogging
20,Farmer 20,UP,Alluvial,6.8,59,35,41,255,35,Maize,172,Low,Avoid waterlogging
21,Farmer 21,Haryana,Loamy,7.5,32,20,40,219,30,Soybean,116,Medium,Avoid waterlogging
22,Farmer 22,AP,Alluvial,6.4,37,29,30,114,32,Bajra,191,Low,Check soil moisture weekly
23,Farmer 23,Chhattisgarh,Alluvial,6.8,48,15,25,183,28,Pigeon Pea,79,Low,Fungal risk
24,Farmer 24,Rajasthan,Clay,6.6,58,35,50,177,34,Maize,230,Low,Monitor pests
25,Farmer 25,Chhattisgarh,Loamy,6.0,49,27,46,212,32,Wheat,216,Low,Fungal risk
26,Farmer 26,Rajasthan,Alluvial,6.7,47,26,27,132,27,Cotton,195,High,Fungal risk
27,Farmer 27,Bihar,Black Soil,7.1,27,22,24,130,37,Bajra,122,Medium,Monitor pests
28,Farmer 28,Maharashtra,Clay,6.8,37,10,46,154,36,Millet,260,Low,Nitrogen application needed
29,Farmer 29,UP,Red Soil,6.3,35,19,30,198,38,Paddy,259,Low,Nitrogen application needed
30,Farmer 30,Gujarat,Laterite,7.4,54,34,27,126,36,Groundnut,283,Low,Ensure proper irrigation
31,Farmer 31,Odisha,Alluvial,6.7,46,15,35,250,34,Bajra,110,High,Fungal risk
32,Farmer 32,UP,Clay,7.4,58,23,42,190,34,Wheat,284,Medium,Nitrogen application needed
33,Farmer 33,Bihar,Red Soil,7.4,35,26,48,177,33,Jute,129,High,Ensure proper irrigation
34,Farmer 34,Chhattisgarh,Sandy,7.0,54,35,32,119,29,Millet,294,Medium,Check soil moisture weekly
35,Farmer 35,AP,Black Soil,6.9,26,14,24,159,26,Wheat,214,Medium,Check soil moisture weekly
36,Farmer 36,Gujarat,Sandy,7.4,50,23,41,226,38,Paddy,175,Low,Nitrogen application needed
37,Farmer 37,Chhattisgarh,Black Soil,6.5,44,12,31,183,36,Jute,171,Low,Avoid waterlogging
38,Farmer 38,Odisha,Alluvial,7.0,44,14,39,225,36,Maize,297,Medium,Check soil moisture weekly
39,Farmer 39,Haryana,Laterite,7.5,43,21,29,257,35,Jute,211,Medium,Ensure proper irrigation
40,Farmer 40,AP,Sandy,6.7,31,33,22,134,34,Bajra,294,Low,Monitor pests
41,Farmer 41,Haryana,Alluvial,6.7,45,32,43,110,26,Sugarcane,194,High,Nitrogen application needed
42,Farmer 42,West Bengal,Loamy,6.6,48,22,20,168,30,Paddy,122,Medium,Check soil moisture weekly
43,Farmer 43,Odisha,Laterite,6.4,54,15,22,245,38,Soybean,207,High,Check soil moisture weekly
44,Farmer 44,Gujarat,Laterite,6.1,33,32,32,147,37,Jute,196,Medium,Nitrogen application needed
45,Farmer 45,Bihar,Loamy,6.4,60,10,48,210,29,Millet,90,High,Ensure proper irrigation
46,Farmer 46,Chhattisgarh,Red Soil,6.0,55,11,43,216,26,Bajra,285,Medium,Avoid waterlogging
47,Farmer 47,Haryana,Sandy,6.6,28,10,34,144,27,Cotton,281,Low,Nitrogen application needed
